Source,/home/echopen/Bureau/GitHub/electronic/kicad/Modules/MDL_Envelope_detector/V2/projet.sch
Kicad Rev,Eeschema 4.0.3+e1-6302~38~ubuntu16.04.1-stable
Generated Date,mer. 17 août 2016 11:14:29 CEST

Title,Not Set
Company,Not Set
Revision,Not Set
Date Issue,Not Set

Reference,Value,Library,Library Ref
R1,2800,device,R
C1,10nF,device,C
R2,1000,device,R
R3,330,device,R
R4,330,device,R
C2,1nF,device,C
C3,33nF,device,C
Q1,Q2N2222,echopen,Q2N2222
Q2,Q2N2907,echopen,Q2N2907
Q3,Q2N2222,echopen,Q2N2222
