Source,/home/echopen/Bureau/GitHub/electronic/kicad/Modules/MDL_Supply/V1/Supply_v1_0.sch
Kicad Rev,Eeschema 4.0.3+e1-6302~38~ubuntu16.04.1-stable
Generated Date,mer. 10 août 2016 15:04:56 CEST

Title,Not Set
Company,Not Set
Revision,Not Set
Date Issue,Not Set

Reference,Value,Library,Library Ref
U1,LM555N,linear,LM555N
C1,10n,device,C
R2,12k,device,R
R1,2.2k,device,R
D2,1N4001,device,D
C3,220u,device,C
C4,47u,device,C
C5,47u,device,C
R5,270,device,R
D1,LED,device,LED
Q1,Q2N2222,device,Q_NPN_BCE
R4,1.8k,device,R
Q2,Q2N2222,device,Q_NPN_BCE
Q3,Q2N2907,device,Q_PNP_BCE
C7,47u,device,CP
D3,1N4001,device,D
D4,1N4001,device,D
C8,47u,device,CP
C9,47u,device,CP
R3,3.3k,device,R
C2,47n,device,C
C10,47u,device,CP
C6,47u,device,CP
U2,LM2940T-12.0/NOPB,echopen,LM2940T-12.0/NOPB
U3,LM2940T-5.0/NOPB,echopen,LM2940T-5.0/NOPB
U4,LM1117T-3.3/NOPB,echopen,LM1117T-3.3/NOPB
U5,LM2990T-12.0/NOPB,echopen,LM2990T-12.0/NOPB
U6,LM2990T-5.0/NOPB,echopen,LM2990T-5.0/NOPB
